Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location
Toyota,Passo,2021,54000,4190000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Airline Avenue, Islamabad"
Suzuki,Ravi,2018,95000,1300000,Petrol,Karachi,Original,Local,Manual,Used,"Kahuta, Rawalpindi"
Suzuki,Bolan,2015,50000,800000,Petrol,Karachi,Original,Local,Manual,Used,"Lyari Expressway, Karachi"
Daihatsu,Move,2013,94000,2155000,Petrol,Lahore,Original,Imported,Automatic,Used,"New Amir Town, Lahore"
Suzuki,Swift,2011,126544,1440000,Petrol,Karachi,Original,Local,Manual,Used,"Shadman 2, Karachi"
Suzuki,Wagon R,2020,54000,2830000,Petrol,Lahore,Original,Local,Automatic,Used,"Abbot Road, Sialkot"
Daihatsu,Mira,2013,140000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad - Block A, Karachi"
Suzuki,Bolan,2016,32000,1050000,Petrol,Karachi,Original,Local,Manual,Used,"Korangi Industrial Area, Karachi"
Honda,City IDSI,2004,160000,1230000,Petrol,Sindh,Original,Local,Manual,Used,"Allama Iqbal Town - Huma Block, Lahore"
Suzuki,Cultus VXR,2008,75000,950000,Petrol,Faisalabad,Original,Local,Manual,Used,"Al Najaf Colony, Faisalabad"
Suzuki,Every,2018,101628,1850000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Saddar, Rawalpindi"
Toyota,Corolla XLI,2007,346000,1895000,Petrol,Lahore,Original,Local,Manual,Used,"New Northern Bypass, Chakwal"
Suzuki,Baleno,2004,140000,930000,Petrol,Karachi,Original,Imported,Manual,Used,"Ali Town, Mirpur Khas"
Honda,City Vario,2006,80000,1670000,Petrol,Karachi,Original,Imported,Automatic,Used,"Zaman Villas, Bahawalpur"
Daihatsu,Move,2021,6500,3499000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Kot Abdul Malik, Sheikhüpura"
Daihatsu,Terios Kid,2004,123123,1425000,Petrol,Sialkot,Original,Imported,Automatic,Used,"Raiwind Bypass, Raiwind"
Daihatsu,Move,2013,73000,2150000,Petrol,Lahore,Original,Imported,Automatic,Used,"DHA Phase 1, Lahore"
Honda,Civic Prosmetic,2007,160000,1670000,Petrol,Karachi,Original,Local,Automatic,Used,"Others, Sadiqabad"
Suzuki,Cultus VXR,2006,80000,900000,Petrol,Lahore,Original,Imported,Manual,Used,"Saddar, Rawalpindi"
Daihatsu,Mira,2011,115000,660000,Petrol,Unregistered,Duplicate,Imported,Automatic,Used,"Khaizi, Quetta"
Honda,City IVTEC,2023,112076,3400000,Petrol,Islamabad,Original,Local,Manual,Used,"D-12, Islamabad"
Toyota,Corolla XLI,2008,100000,1920000,CNG,Lahore,Original,Imported,Manual,Used,"Topi, Swabi"
Suzuki,Wagon R,2014,125000,1600000,Petrol,Karachi,Original,Local,Manual,Used,"Jamshed Road, Karachi"
Hyundai,Santro,2007,84298,890000,Petrol,Gujranwala,Original,Local,Manual,Used,"Usman Colony, Gujranwala"
Toyota,Corrolla Altis,2019,49000,4475000,Petrol,Karachi,Original,Local,Automatic,Used,"Others, Karachi"
Suzuki,Cultus VXR,2009,52000,1050000,Petrol,Lahore,Original,Local,Manual,Used,"New Samanabad, Lahore"
Honda,City Aspire,2021,75000,4199000,Petrol,Lahore,Original,Local,Automatic,Used,"Township - Sector A2, Lahore"
Suzuki,Mehran VXR,2009,96000,620000,Petrol,Faisalabad,Original,Local,Manual,Used,"Gul Colony, Lahore"
Daihatsu,Cuore,2006,100000,1000000,Petrol,Lahore,Original,Imported,Manual,Used,"Mamunkanjan, Faisalabad"
Honda,Civic Prosmetic,2009,105700,1825000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Mitsubishi,Pajero Mini,2007,100000,1025000,Petrol,Islamabad,Original,Imported,Manual,Used,"Misryal Road, Rawalpindi"
Suzuki,Swift,2017,90000,2100000,Petrol,Karachi,Original,Local,Manual,Used,"North Nazimabad, Karachi"
Toyota,Passo,2015,55600,3090000,Petrol,Karachi,Original,Imported,Automatic,Used,"Saadi Town, Karachi"
Honda,City IVTEC,2013,130000,2650000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Honda,City IVTEC,2013,85000,3100000,Petrol,Islamabad,Original,Local,Manual,Used,"7th Avenue, Islamabad"
KIA,Picanto,2021,14600,3000000,Petrol,Lahore,Original,Local,Automatic,Used,"Askari 11, Lahore"
Daihatsu,Cuore,2007,100000,830000,Petrol,Karachi,Original,Imported,Manual,Used,"Federal B Area - Block 22, Karachi"
Suzuki,Bolan,2015,50000,950000,Petrol,Punjab,Original,Local,Manual,Used,"Rawat Enclave, Rawalpindi"
Honda,City Aspire,2021,64000,4500000,Petrol,Punjab,Original,Local,Automatic,Used,"Allama Iqbal Town, Lahore"
Suzuki,Alto,2012,58600,1165000,Petrol,Karachi,Original,Local,Manual,Used,"Scheme 33, Karachi"
Changan,Karvaan,2021,27000,2250000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Maymar, Karachi"
Suzuki,Swift,2016,92900,2225000,Petrol,Lahore,Original,Local,Manual,Used,"Marghzar Officers Colony, Lahore"
Suzuki,Ravi,2015,65000,700000,Petrol,Lahore,Original,Local,Manual,Used,"Madni Park Town, Pirmahal"
Suzuki,Baleno,2005,109000,1380000,Petrol,Islamabad,Original,Local,Manual,Used,"Lalazar, Rawalpindi"
FAW,X-PV,2016,156000,875000,Petrol,Multan,Original,Imported,Manual,Used,"Chungi No. 5, Kabirwala"
Daihatsu,Mira,2013,60000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Karachi, Karachi"
Toyota,Corolla XLI,2017,300000,2720000,Petrol,Lahore,Original,Local,Manual,Used,"Others, Gujranwala"
Suzuki,Alto,2023,15000,2900000,Petrol,Punjab,Original,Local,Automatic,Used,"Mohammad Ali Jinnah Road, Okara"
Daihatsu,Mira,2011,82356,2010000,Petrol,Lahore,Original,Imported,Automatic,Used,"Model Town - Block R, Lahore"
Suzuki,Bolan,2014,80000,1130000,Petrol,Lahore,Original,Imported,Manual,Used,"Dhok Abdullah, Jhelum"
Suzuki,Alto,2003,90000,680000,Petrol,Karachi,Original,Local,Manual,Used,"Shahra-e-Faisal, Karachi"
Daihatsu,Hijet,2016,123456,1850000,Petrol,Karachi,Original,Imported,Automatic,Used,"Shah Faisal Town, Karachi"
Daihatsu,Cuore,2010,70000,830000,Petrol,Karachi,Original,Local,Manual,Used,"Latifabad Unit 8, Hyderabad"
Mitsubishi,Ek Wagon,2013,83000,2000000,Petrol,Karachi,Original,Imported,Automatic,Used,"Khalid Bin Walid Road, Karachi"
Suzuki,Swift,2022,13000,4750000,Petrol,Karachi,Original,Local,Automatic,Used,"Clifton - Block 7, Karachi"
Suzuki,Baleno,2004,249000,900000,Petrol,Karachi,Original,Imported,Manual,Used,"Motorway Chowk, Islamabad"
Suzuki,Wagon R,2012,120000,2100000,Petrol,Lahore,Original,Imported,Automatic,Used,"Rahwali Cantt, Gujranwala"
Suzuki,Bolan,2007,50000,850000,Petrol,Rawalpindi,Original,Imported,Manual,Used,"Cantt, Rawalpindi"
Toyota,Passo,2018,80000,3750000,Petrol,Islamabad,Original,Imported,Automatic,Used,"DHA Phase 6, Lahore"
Toyota,Corolla XLI,2011,123456,2070000,Petrol,Lahore,Original,Local,Manual,Used,"Peshawar Road, Rawalpindi"
Toyota,Altis Grande,2014,150000,3300000,Petrol,Sindh,Original,Imported,Manual,Used,"Hyderabad Road, Mirpur Khas"
Mercedes,E Class,2003,120000,3600000,Petrol,Sindh,Original,Imported,Automatic,Used,"Cavalry Ground, Lahore"
Honda,City IDSI,2006,152000,1700000,Petrol,Karachi,Original,Local,Manual,Used,"Defence View Phase 2, Karachi"
Hyundai,Santro,2002,100000,650000,Petrol,Sindh,Original,Local,Manual,Used,"Pechs I, Karachi"
Daihatsu,Move,2021,100000,2900000,Petrol,Punjab,Original,Imported,Automatic,Used,"Gulshan-e-Mehfooz Housing Society, Sahiwal"
Honda,City IDSI,2001,40000,950000,Petrol,Karachi,Original,Imported,Automatic,Used,"Buffer Zone 1, Karachi"
Daihatsu,Hijet,2011,150000,2300000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Asghar Mall Road, Rawalpindi"
Toyota,Corolla XLI,2007,250000,1350000,Petrol,Lahore,Original,Imported,Manual,Used,"Faizabad, Rawalpindi"
Toyota,Yaris,2022,22000,5000000,Petrol,Punjab,Original,Imported,Automatic,Used,"Fateh Garh, Lahore"
